     t   Part   Pven IMPLAD
0.43800 5310.59908 2621.37969 2774.07888
0.43900 5307.89064 2619.40349 2787.36003
0.44000 5305.21384 2617.60426 2800.06046
0.44100 5302.56812 2615.97202 2812.44191
0.44200 5299.95292 2614.49501 2824.55982
0.44300 5297.36770 2613.16061 2836.28513
0.44400 5294.81192 2611.95599 2847.64006
0.44500 5292.28505 2610.86869 2858.59837
0.44600 5289.78659 2609.88698 2869.17901
0.44700 5287.31602 2609.00002 2879.38682
0.44800 5284.87286 2608.19805 2889.24036
0.44900 5282.45660 2607.47233 2898.75333
0.45000 5280.06677 2606.81509 2907.94340
0.45100 5277.70291 2606.21952 2916.82611
0.45200 5275.36454 2605.67964 2925.41785
0.45300 5273.05123 2605.19023 2933.73382
0.45400 5270.76252 2604.74667 2941.78908
0.45500 5268.49797 2604.34486 2949.59784
0.45600 5266.25716 2603.98125 2957.17392
0.45700 5264.03967 2603.65269 2964.53046
0.45800 5261.84508 2603.35635 2971.68012
0.45900 5259.67298 2603.08976 2978.63505
0.46000 5257.52298 2602.85069 2985.40690
0.46100 5255.39469 2602.63712 2992.00690
0.46200 5253.28773 2602.44724 2998.44584
0.46300 5251.20170 2602.27940 3004.73413
0.46400 5249.13625 2602.13210 3010.88180
0.46500 5247.09101 2602.00397 3016.89854
0.46600 5245.06562 2601.89378 3022.79373
0.46700 5243.05973 2601.80034 3028.57642
0.46800 5241.07300 2601.72275 3034.25542
0.46900 5239.10509 2601.65958 3039.83924
0.47000 5237.15566 2601.61152 3045.33618
0.47100 5235.22439 2601.58408 3050.75427
0.47200 5233.31096 2601.58209 3056.10137
0.47300 5231.41505 2601.60722 3061.38511
0.47400 5229.53635 2601.66094 3066.61293
0.47500 5227.67457 2601.74362 3071.79212
0.47600 5225.82940 2601.85549 3076.92976
0.47700 5224.00055 2601.99644 3082.03282
0.47800 5222.18773 2602.16632 3087.10807
0.47900 5220.39066 2602.36489 3092.16218
0.48000 5218.60906 2602.59193 3097.20163
0.48100 5216.84266 2602.84721 3102.23281
0.48200 5215.09120 2603.13053 3107.26195
0.48300 5213.35441 2603.44172 3112.29515
0.48400 5211.63203 2603.78065 3117.33836
0.48500 5209.92381 2604.14720 3122.39742
0.48600 5208.22951 2604.54133 3127.47799
0.48700 5206.54887 2604.96301 3132.58562
0.48800 5204.88167 2605.41225 3137.72566
0.48900 5203.22765 2605.88911 3142.90332
0.49000 5201.58660 2606.39367 3148.12361
0.49100 5199.95829 2606.92605 3153.39134
0.49200 5198.34249 2607.48642 3158.71111
0.49300 5196.73899 2608.07498 3164.08728
0.49400 5195.14757 2608.69194 3169.52396
0.49500 5193.56802 2609.33759 3175.02493
0.49600 5192.00013 2610.01222 3180.59371
0.49700 5190.44370 2610.71616 3186.23344
0.49800 5188.89854 2611.44979 3191.94687
0.49900 5187.36444 2612.21351 3197.73636
0.50000 5185.84121 2613.00776 3203.60378
0.50100 5184.32867 2613.83302 3209.55051
0.50200 5182.82662 2614.68980 3215.57740
0.50300 5181.33490 2615.57864 3221.68470
0.50400 5179.85331 2616.50012 3227.87201
0.50500 5178.38169 2617.45486 3234.13826
0.50600 5176.91986 2618.44351 3240.48166
0.50700 5175.46765 2619.46675 3246.89962
0.50800 5174.02490 2620.52531 3253.38876
0.50900 5172.59144 2621.61995 3259.94480
0.51000 5171.16712 2622.75146 3266.56261
0.51100 5169.75177 2623.92067 3273.23609
0.51200 5168.34525 2625.12844 3279.95821
0.51300 5166.94740 2626.37568 3286.72095
0.51400 5165.55808 2627.66332 3293.51533
0.51500 5164.17713 2628.99234 3300.33137
0.51600 5162.80442 2630.36374 3307.15812
0.51700 5161.43980 2631.77856 3313.98370
0.51800 5160.08314 2633.23786 3320.79531
0.51900 5158.73430 2634.74276 3327.57930
0.52000 5157.39315 2636.29439 3334.32123
0.52100 5156.05956 2637.89390 3341.00595
0.52200 5154.73341 2639.54249 3347.61766
0.52300 5153.41456 2641.24137 3354.14008
0.52400 5152.10289 2642.99177 3360.55651
0.52500 5150.79828 2644.79494 3366.84997
0.52600 5149.50062 2646.65216 3373.00337
0.52700 5148.20979 2648.56471 3378.99957
0.52800 5146.92567 2650.53386 3384.82162
0.52900 5145.64815 2652.56092 3390.45284
0.53000 5144.37712 2654.64716 3395.87696
0.53100 5143.11248 2656.79386 3401.07832
0.53200 5141.85412 2659.00228 3406.04192
0.53300 5140.60193 2661.27365 3410.75360
0.53400 5139.35582 2663.60919 3415.20013
0.53500 5138.11568 2666.01004 3419.36928
0.53600 5136.88142 2668.47733 3423.24996
0.53700 5135.65294 2671.01211 3426.83219
0.53800 5134.43014 2673.61535 3430.10723
0.53900 5133.21294 2676.28794 3433.06757
0.54000 5132.00124 2679.03068 3435.70690
0.54100 5130.79496 2681.84426 3438.02017
0.54200 5129.59401 2684.72924 3440.00353
0.54300 5128.39830 2687.68604 3441.65427
0.54400 5127.20775 2690.71493 3442.97081
0.54500 5126.02227 2693.81599 3443.95260
0.54600 5124.84180 2696.98915 3444.60007
0.54700 5123.66624 2700.23411 3444.91453
0.54800 5122.49553 2703.55036 3444.89812
0.54900 5121.32958 2706.93715 3444.80414
0.55000 5120.16833 2710.39349 3444.71385
0.55100 5119.01169 2713.91813 3444.62711
0.55200 5117.85961 2717.50951 3444.54378
0.55300 5116.71200 2721.16583 3444.46372
0.55400 5115.56880 2724.88494 3444.38680
0.55500 5114.42995 2728.66441 3444.31291
0.55600 5113.29538 2732.50146 3444.24192
0.55700 5112.16502 2736.39302 3444.17372
0.55800 5111.03881 2740.33567 3444.10819
0.55900 5109.91668 2744.32565 3444.04524
0.56000 5108.79859 2748.35890 3443.98476
